지점,지점명,위도,경도,노장해발고도(m)
177,홍성,36.6575,126.6877,20
181,서청주,36.64,127.3847,32
181,서청주,36.6397,127.3969,32
182,제주공항,33.5167,126.5,26.5
184,제주,33.5141,126.5297,20.79
185,고산,33.2938,126.1628,71.39
185,고산,33.2938,126.1628,74.29
185,고산(감),33.2938,126.1628,74.29
187,성산,33.3868,126.8804,18
188,성산,33.3868,126.8802,20.34
188,성산,33.3868,126.8804,18.4
189,서귀포,33.2462,126.5653,51.86
189,서귀포,33.2461,126.5653,50.4
192,진주,35.1638,128.04,29.35
192,진주,35.1638,128.04,30.21
192,진주,35.2084,128.1191,21.32
201,강화,37.7074,126.4463,47.84
201,강화,37.7074,126.4463,47.01
202,양평,37.4886,127.4945,47.26
203,이천,37.264,127.4842,80.09
211,인제,38.0599,128.1671,201.78
212,홍천,37.6836,127.8804,140.2
214,삼척,37.3667,129.2167,3.9
216,태백,37.1704,128.9893,714.45
217,정선군,37.3773,128.6735,312
217,정선군,37.3815,128.6459,307.58
221,제천,37.1593,128.1943,264.62
226,보은,36.4876,127.7342,171.31
229,북격렬비도,36.6254,125.5595,103.56
229,북격렬비도,36.6254,125.5595,104.81
229,북격렬비도,36.6254,125.5595,104.81
229,북격렬비도,36.6254,125.5595,103.56
229,북격렬비도,36.6254,125.5595,103.56
229,북격렬비도,36.6254,125.5595,103.56
230,덕적북리,37.2645,126.103,12
232,천안,36.7624,127.2927,81.5
232,천안,36.7796,127.1213,21.3
232,천안,36.7796,127.1191,21.3
235,보령,36.3272,126.5574,9.98
236,부여,36.2724,126.9208,13.42
238,금산,36.1056,127.4818,172.69
239,세종,36.4852,127.2444,89.5
239,세종,36.4864,127.235,94
243,부안,35.7296,126.7166,12.2
244,임실,35.612,127.2856,247.04
245,정읍,35.5634,126.839,68.7
245,정읍,35.5632,126.8661,44.6
247,남원,35.4213,127.3965,133.49
247,남원,35.4023,127.3967,127.48
247,남원,35.4054,127.333,90.29
248,장수,35.657,127.5203,406.87
251,고창군,35.4266,126.697,58.84
251,고창군,35.4266,126.697,54
251,고창군,35.4251,126.699,54.02
252,영광군,35.2837,126.4778,37.2
253,김해시,35.2298,128.8908,54.59
254,순창군,35.3713,127.1286,129.38
255,북창원,35.2266,128.6726,50.95
255,북창원,35.2264,128.6725,46.77
256,주암,35.075,127.2391,74.63
256,주암,35.075,127.2391,74.4
257,양산시,35.3074,129.0201,6.29
258,보성군(농),34.7634,127.2123,1.41
258,보성군,34.7634,127.2123,1.41
258,보성군,34.7633,127.2123,2.8
259,강진군,34.6446,126.7841,16
