지점,지점명,위도,경도,노장해발고도(m)
878,도계,37.2238,129.0961,817.04
878,도계,37.2238,129.0961,817.04
878,도계,37.2238,129.0961,814.21
878,도계,37.2238,129.0961,814.21
879,스키점프,37.6605,128.6796,852.43
879,스키점프,37.661,128.6794,852.2
880,금악,33.3328,126.3237,319.78
880,금악,33.3328,126.3237,337.7
881,새만금,35.7295,126.5289,10.49
881,새만금,35.7295,126.5289,10.49
881,새만금,35.7302,126.5295,9.56
881,새만금,35.7302,126.5295,9.56
882,상무대,35.2518,126.6042,106.65
882,상무대,35.2518,126.6042,107.74
882,상무대,35.2518,126.6042,107.74
883,새별오름,33.3623,126.3599,435
883,새별오름,33.3623,126.3599,435
883,새별오름,33.3623,126.3599,435
883,새별오름,33.3623,126.3599,435
883,새별오름,33.3155,126.347,375
884,서호,33.2593,126.5176,173.45
884,서호,33.2593,126.5176,173.45
884,서호,33.2593,126.5176,177.6
885,한남,33.3314,126.6785,244.29
885,한남,33.3314,126.6785,244.29
885,한남,33.3314,126.6785,244.29
885,한남,33.3314,126.6785,244.29
885,한남,33.3315,126.6784,246.3
885,한남,33.3314,126.6783,236.77
886,군산산단,35.9505,126.5912,5.79
886,군산산단,35.9505,126.5912,5.79
886,군산산단,35.9504,126.5911,10
886,군산산단,35.9504,126.5911,10
887,세종연기,36.5033,127.2897,33.1
887,세종연기,36.5033,127.2912,28
887,세종연기,36.5033,127.2912,28
888,청남대,36.4627,127.4907,96.8
888,청남대,36.4627,127.4908,94.44
889,현충원,37.5004,126.9765,16.23
889,현충원,37.5004,126.9765,16.23
890,제주가시리,33.3854,126.7336,275.2
890,제주가시리,33.3854,126.7336,275.2
890,제주가시리,33.3853,126.7336,275.2
890,제주가시리,33.3145,126.6358,302
891,색달,33.2913,126.4223,425
892,성산수산,33.4501,126.8513,102.47
892,성산수산,33.4501,126.8513,126.7
893,애월,33.4659,126.3275,5.24
893,애월,33.4659,126.3275,5.24
893,애월,33.4658,126.3272,25.3
898,장생포,35.5048,129.386,1.57
899,마산회원,35.2235,128.5822,33.3
899,마산회원,35.2236,128.5821,24
900,두서,35.6203,129.1436,117.49
900,두서,35.6203,129.1436,117.49
900,두서,35.6202,129.1433,123
900,두서,35.5824,129.0998,124.31
901,울기,35.4868,129.4353,67.64
901,울기,35.4868,129.4353,67.64
901,울기,35.4865,129.4356,83
901,울기,35.4927,129.4424,38.13
902,시천,35.2423,127.819,137.13
902,시천,35.2423,127.819,137.13
902,시천,35.2424,127.8187,186
902,시천,35.2424,127.8187,186
902,시천,35.2843,127.7644,353.51
902,시천,35.3188,127.7594,482
902,시천,35.3188,127.7594,850
903,도천,35.4039,128.5149,14.86
903,도천,35.4039,128.5149,13.66
903,도천,35.4039,128.5149,13.66
903,도천,35.3855,128.4742,21
903,도천,35.3855,128.4742,21
904,사상,35.1694,128.9751,0.73
904,사상,35.137,128.9675,4.28
904,사상,35.137,128.9675,4.28
904,사상,35.35,128.6667,21
904,사상,35.35,128.6667,21
904,사상,35.2794,128.6915,30
905,양산상북,35.4414,129.0429,83.57
905,양산상북,35.4414,129.0429,83.57
905,양산상북,35.4414,129.0429,84.01
905,양산상북,35.335,129.0379,40.64
905,양산상북,35.3319,129.0386,40
905,양산상북,35.3243,129.0362,50
906,화개,35.2324,127.6427,89.59
906,화개,35.2324,127.6427,89.59
906,화개,35.2322,127.6428,91
906,화개,35.2322,127.6428,91
906,화개,35.1883,127.6254,27.94
906,화개,35.1864,127.6299,10
907,삼천포,34.9321,128.0631,29.46
907,삼천포,34.929,128.0597,23.18
907,삼천포,34.93,128.07,34
907,삼천포,34.93,128.07,23
908,진해,35.1122,128.7537,11.74
908,진해,35.1122,128.7537,11.74
908,진해,35.1122,128.7537,10
908,진해,35.12,128.75,15
908,진해,35.12,128.75,15
909,서이말,34.7877,128.7383,109.74
909,서이말,34.7877,128.7383,109.74
909,서이말,34.7877,128.7382,111.46
909,서이말,34.7877,128.7382,111.46
909,서이말,34.78,128.73,111
910,영도,35.0661,129.0742,138.96
910,영도,35.0661,129.0742,138.96
910,영도,35.0661,129.0742,138.96
910,영도,35.0661,129.0742,137.94
910,영도,35.07,129.08,45
911,매물도,34.6489,128.5772,69.02
911,매물도,34.6489,128.5772,69.02
911,매물도,34.6489,128.5772,69
911,매물도,34.648,128.5772,69
911,매물도,34.6477,128.5778,43.94
911,매물도,34.65,128.6,50
912,백천,35.5263,127.7784,140.33
912,백천,35.5263,127.7783,139.44
912,백천,35.5263,127.7783,139.44
912,백천,35.5263,127.7783,139.44
912,백천,35.5253,127.7798,137.8
912,백천,35.5333,127.7167,186
912,백천,35.5253,127.7798,137.76
913,상주면,34.7238,127.9816,19.65
913,상주면,34.7238,127.9816,19.65
913,상주면,34.7238,127.9854,22.05
914,서하,35.6376,127.7156,353.86
914,서하,35.6376,127.7322,352.12
914,서하,35.6376,127.7322,352.12
914,서하,35.6477,127.6955,340
914,서하,35.6447,127.696,365
915,삼가,35.4135,128.1018,85.28
915,삼가,35.4142,128.1028,86.9
915,삼가,35.4142,128.1028,86.9
915,삼가,35.4142,128.1028,86.9
915,삼가,35.4137,128.102,83.82
915,삼가,35.4137,128.102,83.82
915,삼가,35.4144,128.1219,98.72
915,삼가,35.42,128.12,99
916,단성,35.3111,127.967,55
916,단성,35.3111,127.967,55
916,단성,35.3111,127.9669,56.16
916,단성,35.3111,127.9669,56.16
916,단성,35.3,127.95,70
916,단성,35.3,127.95,70
916,단성,35.3167,127.9667,50
916,단성,35.33,127.93,100
917,사천,35.0369,128.0677,25.79
917,사천,35.037,128.0677,23.51
917,사천,35.037,128.0677,23.51
917,사천,35.07,128.08,23
917,사천,35.07,128.08,20
918,고성,34.9905,128.3309,7.03
918,고성,34.9905,128.3309,7.03
918,고성,34.9905,128.3309,11
918,고성,34.9905,128.3309,11
918,고성,34.97,128.3333,28
918,고성,34.97,128.32,30
919,창녕,35.5514,128.4767,30
919,창녕,35.55,128.47,24
920,함안,35.2961,128.3994,8.39
920,함안,35.2963,128.3992,10
920,함안,35.2963,128.3992,10
920,함안,35.2934,128.3992,8.92
920,함안,35.3,128.4,8
921,가덕도,34.9931,128.8314,75.63
921,가덕도,34.9931,128.8314,75.63
921,가덕도,34.9931,128.8314,73.26
921,가덕도,34.9897,128.8291,71.92
922,단장,35.4865,128.9291,138.03
922,단장,35.4865,128.9291,138.03
922,단장,35.4864,128.9294,138.45
922,단장,35.3647,128.9189,19.56
923,기장,35.2751,129.2511,65.99
923,기장,35.2751,129.2511,65.99
923,기장,35.275,129.2511,65
923,기장,35.264,129.2323,13.11
924,간절곶,35.3587,129.3603,22.23
924,간절곶,35.3587,129.3603,22.23
924,간절곶,35.3587,129.3603,22.23
924,간절곶,35.3587,129.3603,23.97
925,생림,35.3744,128.823,8.68
925,생림,35.3744,128.823,8.68
925,생림,35.3744,128.823,12.43
925,생림,35.3282,128.8491,29.11
925,생림,35.3277,128.8534,28
926,진북,35.1262,128.4748,13.33
926,진북,35.1261,128.4747,14.8
926,진북,35.1149,128.4618,25.58
926,진북,35.1137,128.4719,22
927,송백,35.582,128.8837,126.74
927,송백,35.582,128.8837,126.74
927,송백,35.5842,128.8809,125.53
928,웅상,35.4162,129.1731,99.97
928,웅상,35.4122,129.1792,99
929,개천,35.1137,128.307,129.52
929,개천,35.1136,128.3069,74.1
929,개천,35.1136,128.3069,130.1
929,개천,35.0989,128.2586,74.14
929,개천,35.0989,128.2586,74.14
930,사량도,34.8099,128.2381,6.64
930,사량도,34.8099,128.2381,6.64
930,사량도,34.8099,128.2381,6.64
930,사량도,34.8101,128.2375,6
930,사량도,34.8101,128.2375,6
930,사량도,34.8436,128.2251,15.17
931,욕지도,34.6223,128.2735,76.04
931,욕지도,34.6223,128.2735,73.47
931,욕지도,34.6223,128.2735,73.47
931,욕지도,34.6192,128.2759,80
931,욕지도,34.6363,128.2634,13.58
932,하동,35.0606,127.7666,4.47
932,하동,35.0603,127.7664,8
932,하동,35.0721,127.7455,21.57
932,하동,35.0721,127.7455,21.57
932,하동,35.05,127.75,21
932,하동,35.05,127.75,60
933,금남,34.9968,127.8324,32.22
933,금남,34.9968,127.8324,32.22
933,금남,34.9966,127.8324,43
933,금남,34.9966,127.8324,43
933,금남,34.9506,127.859,11.33
933,금남,34.95,127.87,10
934,수곡,35.2214,127.9285,82.8
934,수곡,35.2214,127.9285,82.8
934,수곡,35.2217,127.9284,132
934,수곡,35.2217,127.9284,132
934,수곡,35.1986,127.9322,72.48
935,청덕,35.5698,128.3411,23.63
935,청덕,35.5698,128.3411,23.63
935,청덕,35.5698,128.3411,23.63
935,청덕,35.5698,128.3411,22.15
935,청덕,35.55,128.32,30
936,신포,35.3326,128.2023,61.21
936,신포,35.3326,128.2023,61.21
936,신포,35.3326,128.2023,61.9
936,신포,35.3311,128.2036,51
936,신포,35.3167,128.2833,47
936,신포,35.2769,128.2116,148
937,해운대,35.1761,129.1624,63.72
937,해운대,35.1761,129.1624,63.72
937,해운대,35.1761,129.1624,62.98
937,해운대,35.1749,129.1663,69.82
937,해운대,35.1604,129.1669,25
938,부산진,35.1589,129.0193,114.38
938,부산진,35.1589,129.0192,114
938,부산진,35.154,129.0507,17.55
938,부산진,35.1472,129.0514,83
938,부산진,35.1333,129.05,35
938,부산진,35.161,129.0613,35
939,금정구,35.2932,129.1035,49.26
939,금정구,35.2932,129.1035,53.11
939,금정구,35.2932,129.1035,53.11
939,금정구,35.2323,129.0846,71.08
939,금정구,35.2354,129.0824,71.08
939,금정구,35.2289,129.0831,68
940,동래,35.2091,129.0901,70.07
940,동래,35.2091,129.0901,70.07
940,동래,35.2084,129.083,18.89
940,동래,35.2053,129.0856,18
940,동래,35.2028,129.085,14.5
940,동래,35.1911,129.0787,25
941,북구,35.213,129.0026,6.94
941,북구,35.213,129.0026,5.52
941,북구,35.204,128.9981,34.54
941,북구,35.1926,129.0065,141
942,부산남구,35.1186,129.0884,124.26
942,부산남구,35.1186,129.0884,124.26
942,부산남구,35.1186,129.0883,121.2
942,부산남구,35.135,129.1045,14.86
942,부산남구,35.1304,129.1051,4
943,매곡,35.6671,129.375,460.23
943,매곡,35.6671,129.375,460.23
943,매곡,35.6674,129.3753,470.43
943,매곡,35.6672,129.3753,473
943,매곡,35.5076,129.3519,12.4
944,길곡,35.3852,128.5701,10.05
944,길곡,35.3852,128.5701,10.05
944,길곡,35.3853,128.5706,23
944,길곡,35.387,128.569,23.48
945,대병,35.5345,127.9901,231.31
945,대병,35.5345,127.99,226.87
945,대병,35.5345,127.99,226.87
945,대병,35.5345,127.99,224
946,북상,35.78,127.8183,324.25
946,북상,35.78,127.8183,324.25
946,북상,35.7798,127.8183,324.91
946,북상,35.7798,127.8183,324.91
946,북상,35.7773,127.8193,327.44
947,명사,34.7219,128.5908,30.51
947,명사,34.7219,128.5908,30.51
947,명사,34.7219,128.5908,30.51
947,명사,34.722,128.5908,31
947,명사,34.7257,128.6036,11.18
947,명사,34.73,128.68,25
948,삼장,35.3107,127.8345,140.43
948,삼장,35.3107,127.8345,140.43
948,삼장,35.3106,127.8358,139.4
948,삼장,35.2984,127.8319,134.47
948,삼장,35.2984,127.8319,134.47
948,삼장,35.2833,127.85,137
949,정자,35.6375,129.4412,8
949,정자,35.6144,129.4496,11.04
949,정자,35.5833,129.45,10
950,사하,35.09,128.9839,127
950,사하,35.09,128.9839,127
950,사하,35.1612,129.1381,11.14
951,내장산,35.5087,126.9073,105.9
951,내장산,35.5087,126.9073,105.9
951,내장산,35.5087,126.9073,107.77
951,내장산,35.5087,126.9073,107.77
951,내장산,35.4667,126.9,199
953,장목,34.9984,128.6798,30.87
953,장목,34.9984,128.6798,30.87
953,장목,34.9985,128.6796,33
953,장목,34.9924,128.6741,26.01
954,온산,35.431,129.3601,53.92
954,온산,35.431,129.3601,53.92
954,온산,35.431,129.3601,59.44
954,온산,35.6178,129.1448,123.38
955,서수도,37.325,126.3933,18
956,가대암,36.77,125.9767,16
957,십이동파,35.9867,126.225,95
957,십이동파,35.9867,126.225,95
958,갈매여,35.6133,126.245,15
959,해수서,34.2633,126.0267,12
960,지귀도,33.2233,126.6542,18
960,지귀도,33.2233,126.6542,18
960,지귀도,33.2233,126.6542,18
960,지귀도,33.2233,126.6542,18
961,간여암,34.285,127.8578,27
961,간여암,34.285,127.8578,27
961,간여암,34.285,127.8578,26.5
962,광안,35.1317,129.1358,12
963,이덕서,35.5667,129.475,16
964,마량,34.459,126.8157,49.92
964,마량,34.459,126.8156,48.8
964,마량,34.459,126.8156,48.8
965,한라산남벽,33.3524,126.533,1576
965,한라산남벽,33.3524,126.533,1576
966,풍도,37.1161,126.3856,38
966,풍도,37.1161,126.3856,38
967,도리도,37.1189,126.6128,70
967,도리도,37.1189,126.6128,70
968,남항,35.081,129.045,78.58
968,남항,35.081,129.045,78.58
968,남항,35.081,129.045,78.58
969,북항,35.091,129.127,37.72
969,북항,35.091,129.127,37.72
969,북항,35.091,129.127,37.72
970,철원장흥,38.2016,127.2502,179.45
970,철원장흥,38.2016,127.2502,179.45
970,철원장흥,38.2016,127.2502,179.45
970,철원장흥,38.2014,127.2502,181
970,철원장흥,38.2014,127.2502,181
970,철원장흥,38.2014,127.2502,181
970,철원장흥,38.1451,127.3063,154.22
971,수원(농),37.2721,126.9853,34.15
972,안동옥동,36.5498,128.6834,88.62
972,안동옥동,36.5499,128.683,89
972,안동옥동,36.5701,128.7095,139.39
973,화순능주,35.0233,126.9496,39.64
973,화순능주,35.0233,126.9496,39.64
973,화순능주,35.0233,126.9496,39.8
973,화순능주,35.0719,127.2412,74.38
973,화순능주,35.0719,127.2412,74.38
973,화순능주,35.0719,127.2412,74.38
974,대곡,35.2444,128.1561,16.78
974,대곡,35.2439,128.1547,22
974,대곡,35.2439,128.1547,22
974,대곡,35.2439,128.1547,22
974,대곡,35.2439,128.1547,22
974,대곡,35.1638,128.04,27.14
974,대곡,35.2054,128.1213,21.32
975,전주(농),35.945,126.9943,15
975,전주(농),35.945,126.9943,15
975,전주(농),35.8185,127.1571,61.14
977,오창가곡,36.7246,127.4669,40.35
977,오창가곡,36.6363,127.4428,56.36
977,오창가곡,36.6363,127.4428,56.36
977,오창가곡,36.6363,127.4428,56.36
978,춘천신북,37.9546,127.7763,140.37
978,춘천신북,37.9026,127.7378,76.8
978,춘천신북,37.9026,127.7378,76.8
979,서산(농),36.7737,126.4959,25.93
979,서산(농),36.7737,126.4959,25.93
979,서산(농),36.7737,126.4959,25.93
980,강정,33.2599,126.4892,135
980,강정,33.2606,126.4895,141.84
980,강정,33.2606,126.4895,141.84
980,강정,33.2461,126.5653,50.47
980,강정,33.2461,126.5653,50.47
980,강정,33.2461,126.5653,50.47
980,강정,35.2111,128.9806,5
981,보성군(농),34.7633,127.2123,2.8
981,보성군(농),35.1583,128.9,6
984,오륙도,35.091,129.127,35.9
989,안덕화순,33.2579,126.3299,91.2
989,안덕화순,33.2579,126.3299,90
990,낙천,33.3182,126.2305,77.67
990,낙천,33.3182,126.2305,76
991,옥포,35.8028,128.4456,27.5
992,하빈,35.9062,128.4464,35.5
993,제주금악,33.3423,126.3099,279
994,심포,35.8545,126.6421,3
995,오천,35.9286,129.3822,80.32
996,화동,36.3721,127.8949,360.46
1001,얀마이엔,70.9333,-8.6667,10
1002,버리겐후켄,80.05,16.25,8
1003,호른순트,77,15.5,10
1006,에디게야,78.25,22.8333,
1007,뉘올레순,78.9167,11.9333,8
1008,스발바르 루프트하운,78.25,15.4667,29
1009,카르 XII 오야,80.6667,25,5
1010,안도야,69.3,16.1333,14
1015,헤킹옌 피르,69.6,17.8333,14
1023,바르두포스,69.0667,18.5333,79
1025,트롬소/랑네스,69.6833,18.9167,10
1026,트롬소,69.65,18.9333,103
1028,비요르노야,74.5167,19.0167,16
1033,토스바그 피르,70.25,19.5,21
1035,아더렌,69.25,19.8833,12
1037,스키보튼,69.3833,20.2667,5
1045,노르디스트룸 아이 쿠바난겐,69.8333,21.8833,6
1046,쇠르쇼센,69.7833,20.9667,6
1047,카우토카이노,69,23.0333,307
1049,알타 루프트하운,69.9833,23.3667,3
1052,함메르페스트,70.6667,23.6667,81
1055,푸루홀멘 피르,71.1,24,13
1058,수올로브옵미 루리트,69.5667,23.5333,382
1059,바낙,70.0667,24.9833,8
1062,호펜,76.5,25.0667,6
1065,카라스요크,69.4667,25.5167,129
1068,호닝스보그/바렌,71.0167,25.9833,14
1074,메함,71.0333,27.8333,13
1078,슬렛네스 피르,71.1,28.2333,8
1083,벨레,70.8667,29.0333,13
1088,바드,70.0667,29.85,39
1089,키르케네스,69.7333,29.9,91
1092,마케르 피르,70.7,30.0833,9
1098,바르도,70.3667,31.1,14
1100,강남구청,37.5178,127.048,55
1101,개포동,37.4898,127.0691,47
1102,스클린나 피르,65.2,11,23
1102,세곡동,37.469,127.1069,44
1103,강동구청,37.5306,127.1241,28
1104,고덕2동,37.5605,127.1643,38
1105,강북구청,37.6272,127.0271,
1105,루트바,68.3667,15.95,8
1106,강서구청,37.551,126.8496,
1107,뢰스트 플리플라스,67.5167,12.1,4
1107,공항펌프장,37.5567,126.8171,
1108,관악구청,37.4784,126.9514,
1108,베가-바르스조,65.7,11.85,2
1109,신림펌프장,37.4848,126.9085,
1110,광진구청,37.5383,127.0819,31
1111,개봉2동,37.4909,126.8566,18
1112,구로구청,37.4952,126.8871,20
1112,브로노이선드/브로노이,65.4667,12.2167,9
1113,금천구청,37.457,126.8954,
1114,노원구청,37.6544,127.0564,
1114,레이파,66.9,13.6333,12
1115,미켄,66.7667,12.4833,13
1115,상계1동,37.6799,127.055,
1116,샌드네스존/스토카,65.9667,12.4667,17
1116,도봉구청,37.6688,127.0475,
1117,트조타,65.8333,12.4333,21
1118,동대문구청,37.5746,127.0398,48.75
1119,휘경펌프장,37.5888,127.07,24.44
1120,동작구청,37.5125,126.9398,22
1121,흑석펌프장,37.5089,126.9632,18
1121,노르-솔베르,66.3667,12.6167,10
1122,모셴 셰르스타드,65.7833,13.2167,73
1122,마포구청,37.5654,126.9001,
1123,봉원펌프장,37.5439,126.93,
1124,크조브리 아이 센사,64.1667,12.4667,195
1124,서대문구청,37.5794,126.9369,
1125,반포펌프장,37.4999,126.996,
1126,서초구청,37.4838,127.0324,
1127,뚝섬,37.5509,127.0415,18
1128,성동구청,37.5635,127.0367,26
1129,상월곡동,37.6106,127.0357,12.5
1130,성북구청,37.5895,127.0167,55.2
1131,마천2동,37.4969,127.1485,41
1132,송파구청,37.5148,127.1061,17
1132,마야바튼,65.1667,13.3667,319
1133,목동,37.5274,126.8788,
1134,양천구청,37.517,126.8665,
1135,도림2,37.5071,126.8969,
1136,영등포구청,37.5264,126.8963,
1137,용산구청,37.5322,126.9908,44
1138,한남펌프장,37.5292,127.0076,31
1139,갈현1동,37.6236,126.9167,47
1140,은평구청,37.6028,126.9296,38
1141,증산펌프장,37.5782,126.9029,18
1142,부암동,37.5925,126.964,118
1143,종로구청,37.5726,126.9797,66
1143,드래그 알뤼옥타,68.05,16.0833,
1144,헬릭베르,67.6667,13.9,24
1144,중구청,37.5637,126.9974,
1145,면목,37.5784,127.0804,25
1146,중랑구청,37.6065,127.0933,50
1147,바레네트레스크,65.75,14.1833,406
1150,야르토센,66.5,14.95,251
1151,모 아이 라나/로즈보르,66.3667,14.3,70
1151,남산,37.5556,126.9922,10
1152,동대문,37.5888,127.07,28.67
1152,보도,67.2667,14.3667,13
1153,성북,37.6001,127.0315,12.5
1154,도봉,37.6468,127.0437,22.72
1155,마포,37.5735,126.9008,22.72
1156,베스테롤렌,68.6,14.4333,8
1156,구로,37.4914,126.8836,41.9
1157,영등포,37.5397,126.8889,5
1158,서초,37.4798,126.9855,35.45
1158,셋사,67.1667,15.4833,8
1159,강남,37.5175,127.048,10
1160,스크로바 피르,68.15,14.65,11
1160,서대문,37.5808,126.9316,7.5
1161,스벌비아/헬레,68.25,14.6667,9
1161,금천,37.4661,126.8998,7.5
1162,양천,37.5268,126.8765,21.34
1162,스토르크말크네스/스카겐,68.5833,15.0167,3
1163,노원,37.639,127.0664,34.33
1164,광진,37.5538,127.0805,32.81
1165,강북,37.6183,127.0239,7.5
1166,송파,37.503,127.1283,57.9
1167,용산,37.5455,126.9699,10
1168,성동,37.539,127.0416,5
1169,셀트달,66.85,15.3167,81
1169,중랑,37.574,127.0851,10
1170,중구,37.5535,127.003,87.8
1171,종로,37.5707,126.989,5
1172,은평,37.6037,126.9278,47.69
1173,동작,37.515,126.9448,25.16
1174,관악,37.4896,126.9481,10
1175,강동,37.529,127.1261,34.47
1176,강서,37.5562,126.8719,5
1180,하르스타드,68.8,16.5333,44
1181,효제동,37.5721,127.0051,21.4
1182,면목동,37.5849,127.094,38.2
1183,이브네스,68.5167,16.6833,
1183,용두동,37.5756,127.029,16.5
1185,길음동,37.6067,127.0273,35.89
1186,대흥동,37.5558,126.9055,16.64
1187,신촌,37.555,126.9376,21.9
1189,당산동,37.525,126.8974,10.35
1190,반포동,37.5046,126.9945,50
1191,신사동,37.5158,127.0204,24.5
1192,신정동,37.526,126.8566,11.72
1193,서소문동,37.5642,126.9748,32.4
1194,서울역,37.5512,126.9719,27.5
1195,구의동,37.5465,127.0921,35
1196,텐네볼,68.75,17.8167,21
1196,방학동,37.6542,127.0291,55.9
1197,남가좌동,37.5937,126.9496,22.3
1198,디비다렌 II,68.7833,19.7,204
1198,화곡동,37.5447,126.8352,18.1
1199,구로동,37.4988,126.8903,39.7
1199,시카브리,68.75,23.5333,382
1200,도곡동,37.5173,127.0481,33.1
1201,우이동,37.6379,127.0289,29.22
1202,사당동,37.481,126.9716,28.44
1203,크라케네스,62.0333,4.9833,41
1203,신림동,37.4874,126.9271,19.9
1204,상계동,37.6588,127.0685,29.9
1205,시흥동,37.4524,126.9083,23.1
1205,스비노이 피르,62.3333,5.2667,38
1206,청계천,37.5686,126.9982,22.4
1207,한남동,37.5404,127.0048,42.64
1207,피스카비가기드,62.1,5.5833,
1208,천호동,37.545,127.1368,30.96
1209,오라스타-벌다/호브단,62.1833,6.0667,74
1209,영등포,37.5195,126.9047,9.8
1210,올레순/비그라,62.5667,6.1167,22
1210,성수동,37.5419,127.0494,13.88
1211,청량리,37.5806,127.0445,14.3
1212,오나,62.8667,6.5333,13
1212,방이동,37.5027,127.0925,16.34
1213,길동,37.5348,127.1392,20.1
1214,레크달,62.65,6.7667,43
1214,종로,37.5709,126.9957,22.7
1217,몰데/아로,62.75,7.2667,3
1218,타피오르,62.2333,7.4167,15
1221,타드다렌,63.05,9.0833,415
1223,크리스티안쏜드/크벌느벌겟,63.1167,7.8333,62
1224,스칼맨 피어,63.4667,7.75,13
1225,바이홀멘,63.5167,7.95,5
1228,술라,63.85,8.4667,4
1229,유림동,37.2524,127.2117,93
1230,동백동,37.2725,127.1516,94
1230,비올리,62.2667,8.2,579
1231,상갈동,37.2666,127.1077,65
1232,비니에라,63.2,9,47
1232,보정동,37.3202,127.1131,72
1233,돔보스,62.0833,9.1167,638
1233,죽전동,37.331,127.114,58
1234,오르크달 탐시암,63.3167,9.85,4
1235,성복동,37.3164,127.069,109
1236,호매실동,37.2663,126.9571,15
1237,모현읍,37.33,127.242,64
1238,백암면,37.163,127.374,100
1238,폭스투아,62.1167,9.2833,972
1239,이동읍,37.141,127.196,50
1240,장호원읍,37.1143,127.6297,65
1240,홀텐 피르,64.1667,9.4,16
1241,외를란드,63.7,9.6,7
1241,신장동,37.1711,127.0521,4
1242,아프졸드 II,63.9667,10.2167,21
1245,오프달-세테르,62.6,9.6667,604
1247,평내,37.6485,127.236,123
1248,양정,37.6165,127.1871,27
1249,고읍,37.7926,127.08,16.8
1250,가평,37.8254,127.5166,62
1251,북면,37.8856,127.5503,110
1252,상면,37.8049,127.3567,125
1253,소크네달,62.95,10.1833,299
1254,코트쇠이,62.9833,10.55,127
1254,설악,37.6762,127.4947,71
1256,청평,37.7404,127.4242,75
1257,현,37.8175,127.3532,125
1257,트론헤임/볼,63.4167,10.45,
1259,뷔홈로사 피르,64.4,10.45,
1262,노르도얀 피르,64.8,10.55,33
1265,튄세트/한스모엔,62.2667,10.7333,482
1269,관산,37.688,126.8625,35
1270,대화펌프장,37.6578,126.7378,12
1271,마두역,37.6589,126.775,33
1271,트론헤임/버네스,63.4667,10.9333,17
1272,일산서구청,37.6754,126.7505,37
1273,셀부,63.2333,11.0167,160
1273,고양,37.7033,126.9037,63
1274,지축,37.6518,126.9206,57
1275,펌프장,37.5983,126.8494,15
1276,화정,37.6375,126.8323,35
1277,스타인셰르,64.0167,11.45,80
1279,경안,37.4106,127.2572,40.26
1280,광남,37.3891,127.2298,58.35
1281,남스코갠,64.7333,12.85,140
1281,남종,37.4942,127.3018,34.26
1282,롤비크/르욤,64.8333,11.15,4
1282,도척,37.3047,127.3313,140.4
1283,산성리,37.4773,127.1895,329.02
1284,송정,37.4199,127.2459,51.47
1285,송정배수,37.4148,127.2657,35.37
1286,곤지암,37.3459,127.3441,88.71
1287,양벌배수,37.3869,127.2486,40.81
1287,솔엔데트,62.6833,11.8167,747
1288,로로스,62.5667,11.3833,628
1288,오포,37.3833,127.2312,68.83
1289,남한산성,37.4633,127.2451,96.09
1290,초월,37.3852,127.288,64.97
1290,남소스 루프테븐,64.4667,11.5833,2
1291,퇴촌,37.4667,127.307,34.07
1291,가틀란드,64.5333,12.3833,95
1292,교문,37.5947,127.1296,25
1293,메로케-에게,63.4167,11.7333,169
1294,대야도서관,37.3301,126.9154,78
1295,군하,37.717,126.5521,12
1296,마곡,37.7202,126.6312,33
1297,마송,37.689,126.5973,37.58
1298,사우,37.6332,126.7167,39.04
1299,신곡,37.6034,126.771,15
1300,양곡,37.6575,126.6254,16
1301,시청,37.636,127.2165,58.06
1302,와부,37.5854,127.2167,29.58
1303,퇴계원,37.6493,127.1447,28.4
1304,이테로이아네 피르,61.5667,4.6833,26
1304,도농,37.6072,127.159,20.86
1305,화도,37.6579,127.3005,86.61
1306,별내,37.7027,127.1249,63.69
1307,페디에,60.75,4.7167,19
1307,오남,37.6989,127.2047,74.63
1308,진건,37.6546,127.1777,38.67
1309,수동,37.7036,127.3261,68.18
1310,플로로,61.5833,5.0333,9
1310,진접,37.7264,127.1899,62.98
1311,조안,37.5359,127.3034,40.01
1311,베르겐/플레슬란드,60.2833,5.2333,50
1312,호평,37.6549,127.2487,124.06
1313,화도하수처리장,37.6311,127.3462,34.98
1314,소사본,37.4773,126.8,65.1
1315,오정,37.5284,126.7961,38.5
1316,원미1,37.4966,126.7872,38.25
1317,중원구청,37.4305,127.1373,73
1317,베르겐/플로리다,60.3833,5.3333,12
1318,판교동주민센터,37.3899,127.0986,79
1319,타클리,61.0333,5.3833,38
1319,수정구청,37.4503,127.1456,94
1320,성남시청,37.4201,127.1267,84
1320,산다네/안다,61.8333,6.1167,60
1321,쓰레기소각장,37.4317,127.1809,152
1321,스트륀,61.9,6.55,
1322,하수처리장,37.461,127.1241,43
1323,폴데-브린겔안드사센,61.4,5.7667,319
1323,구미동주민센터,37.3402,127.1226,94
1324,상광교,37.3303,127.0148,145.51
1325,영통,37.2572,127.0723,76.42
1326,우만,37.2849,127.0375,68.15
1326,모달렌 III,60.85,5.9833,125
1327,팔달구,37.2634,127.0291,67.26
1327,캄스코겐-용스회그디,60.3833,5.9667,452
1328,입북,37.2932,126.9596,55.08
1329,조원,37.304,127.0101,96.13
1329,캄쇠이,60.35,6.2667,50
1330,탑,37.2577,126.9718,40.09
1331,이의동,37.3108,127.0393,132.23
1331,이의동,37.4175,126.8156,
1332,목감,37.3847,126.857,56
1332,피엘란-브레무시트,61.4333,6.7667,
1333,대야동,37.4432,126.788,20.6
1334,장현,37.3802,126.803,65
1336,고잔2동,37.3218,126.8308,21.46
